series_id,t,y
series_0,0,9.425692206918646
series_0,1,10.468998545628864
series_0,2,12.524498782154998
series_0,3,13.88592163761368
series_0,4,13.608311517466156
series_0,5,12.457689356069665
series_0,6,10.899419900670983
series_0,7,8.520769392166224
series_0,8,7.621680606516881
series_0,9,7.521920839149736
series_0,10,9.23563198721314
series_0,11,10.351827231397243
series_0,12,10.080157817572625
series_0,13,12.259634889389826
series_0,14,13.116689980235032
series_0,15,13.19015162211238
series_0,16,13.729493619357694
series_0,17,13.567404373262598
series_0,18,12.590122438644606
series_0,19,10.03815902913804
series_0,20,8.866296677592986
series_0,21,8.930163049091416
series_0,22,10.029905152814354
series_0,23,10.234881748910254
series_0,24,11.411027864665511
series_0,25,11.934729292160462
series_0,26,12.428961024670281
series_0,27,14.154813599887804
series_0,28,14.954752929020199
series_0,29,13.449683672181857
series_0,30,12.716487936984297
series_0,31,11.19392541618662
series_0,32,9.32623664718396
series_0,33,9.322258192634653
series_0,34,10.812720845607284
series_0,35,11.124909951197102
series_0,36,13.402192423939473
series_0,37,11.885689514063902
series_0,38,14.147611850347975
series_0,39,14.59486344769049
series_0,40,13.988234532780766
series_0,41,13.209295669177527
series_0,42,10.328586075159526
series_0,43,9.62071077556885
series_0,44,9.442141283124526
series_0,45,10.405118181930082
series_0,46,9.85855079927442
series_0,47,10.141771854362618
series_0,48,11.369052444250206
series_0,49,13.789527174475811
series_0,50,14.869513809497763
series_0,51,14.605193090841256
series_0,52,14.772991582211707
series_0,53,13.74990501855655
series_0,54,13.103360978885531
series_0,55,10.802672753236774
series_0,56,9.636565671553834
series_0,57,9.139477793515004
series_0,58,8.575902625345147
series_0,59,10.490194708670263
series_0,60,12.289487630608468
series_0,61,13.66797993383767
series_0,62,14.485423031958943
series_0,63,13.827196979851873
series_0,64,13.752175785870039
series_0,65,12.99852198928869
series_0,66,11.426732273185793
series_0,67,10.495801519579281
series_0,68,10.192454572397075
series_0,69,11.379836858908318
series_0,70,11.177233286131646
series_0,71,11.937302203761615
series_0,72,12.90076705774701
series_0,73,12.57530728713817
series_0,74,14.215085795713025
series_0,75,14.997133366448066
series_0,76,16.795296520949183
series_0,77,14.825766846778846
series_0,78,13.386513725409191
series_0,79,11.742481798086
series_0,80,9.710061871529424
series_0,81,10.664684635519098
series_0,82,11.398006533924251
series_0,83,12.608106554742434
series_0,84,12.710103220650472
series_0,85,15.263313449303801
series_0,86,14.63770705399228
series_0,87,15.767080400268739
series_0,88,17.105746600869004
series_0,89,14.477728985970085
series_0,90,12.641417749779926
series_0,91,11.593340255699
series_0,92,10.29450029334695
series_0,93,8.94241789365612
series_0,94,10.088169210265418
series_0,95,10.576076482141902
series_0,96,12.892782324089366
series_0,97,13.629811901593987
series_0,98,16.282004931642383
series_0,99,15.652884642734042
series_0,100,15.166123290947418
series_0,101,15.045165375887944
series_0,102,12.533473857644351
series_0,103,11.769218123114698
series_0,104,11.963742938187515
series_0,105,9.89178453749997
series_0,106,10.80270601209976
series_0,107,12.13378347454807
series_0,108,14.076375484535449
series_0,109,14.11888039470363
series_0,110,14.36878007578233
series_0,111,15.834917528099245
series_0,112,15.885298568573763
series_0,113,15.097107987857274
series_0,114,13.951830875046644
series_0,115,11.908008178556898
series_0,116,11.30535541804728
series_0,117,11.200541739074223
series_0,118,10.891485318696501
series_0,119,13.594097872471565
series_0,120,14.716509601575735
series_0,121,14.61678987123316
